employee_id,hiring_date,last_evaluation_date,termination_date,employment_status,age,gender,num_children,department,job_level,initial_salary,salary,contract_type,remote_ratio,tenure,num_projects,avg_monthly_hours,last_performance_score,promotions_last_2_years,training_hours_last_year,satisfaction_level,absences_last_6_months,internal_mobility_interest
67f8f092-aac6-42e1-a9c9-e73859b3cd3c,2014-04-22,2018-05-17,2019-07-18,Resigned,53,Female,2,Sales,Junior,25532,38936,Permanent,20,63,9,129,77,1,0,0.61,1,0
ed7cc301-524d-40ef-8e62-dbf2731a4c8e,2018-01-16,2018-11-25,2023-10-09,Resigned,49,Male,1,HR,Junior,19339,30458,Permanent,50,69,7,136,71,1,38,0.61,4,1
07be7e2f-7f47-4369-899a-c5992dbec445,2021-07-05,2024-02-09,2022-03-03,Resigned,57,Male,0,Marketing,Senior,28618,30525,Permanent,80,8,9,156,75,1,26,0.51,0,0
63dadd0f-cece-4286-b4b1-b0c12936e116,2021-06-28,2024-04-12,2023-09-21,Resigned,41,Other,0,HR,Junior,25536,31281,Permanent,80,27,9,207,81,0,28,0.37,0,1
5b2f701a-96ff-4e86-84e9-bcfb98b6f0d0,2016-10-12,2024-01-17,2020-04-08,Resigned,45,Male,0,Sales,Junior,24410,32953,Permanent,0,42,6,156,66,0,18,0.38,1,0
0b66e98d-6bfc-4a46-9048-71adfd52ed3f,2019-11-24,2023-09-06,2020-10-02,Resigned,32,Other,4,Operations,Mid,28318,30677,Permanent,80,10,2,175,51,0,25,0.49,1,0
e0a3ad27-02dd-4c36-b714-be633f7a8eaf,2012-08-10,2017-01-27,2021-02-28,Resigned,27,Other,0,Marketing,Junior,27604,51527,Internship,50,104,8,200,98,1,0,0.58,1,0
799471bf-a10d-4341-9969-e2828906b744,2012-10-08,2024-04-18,2021-09-11,Resigned,35,Other,1,Operations,Junior,22668,43069,Permanent,50,108,4,172,59,0,19,0.54,3,1
579e1dde-391f-413d-b492-17e3f756ce6c,2014-12-03,2020-06-29,2019-04-11,Resigned,35,Other,1,Marketing,Junior,18655,26894,Permanent,100,53,6,178,65,1,6,0.37,2,1
2478cbd7-4c07-41a4-9c46-b47f8fc77a83,2015-05-05,2024-09-03,2019-05-09,Resigned,57,Other,2,Sales,Junior,21174,29643,Permanent,0,48,7,174,97,0,15,0.6,2,0
326c823d-ec2b-4c4e-aed9-22ee32c5c7c9,2010-01-18,2013-09-25,2018-07-22,Resigned,54,Other,1,Sales,Senior,28386,52750,Permanent,0,103,6,154,71,1,31,0.64,1,0
9678f796-0953-460c-913d-74be02bb3756,2018-05-12,2019-10-09,2022-06-24,Resigned,49,Male,0,Operations,Junior,23188,32849,Temporary,20,50,7,163,85,0,8,0.37,4,1
1044bf3b-3b8d-4c57-bb26-fc6dda7a4995,2021-09-21,2022-11-25,2024-06-13,Resigned,41,Other,0,Marketing,Senior,25776,32864,Permanent,20,33,2,165,78,0,37,0.31,1,0
a4e8a07c-c00e-4442-ba5d-4bb35b362238,2017-05-28,2021-03-06,2020-02-02,Resigned,46,Male,0,IT,Junior,29909,37884,Permanent,100,32,7,108,90,1,30,0.21,0,0
12184925-3106-460b-947b-4e0359576e6e,2019-03-04,2025-04-20,2023-07-28,Resigned,39,Other,0,Sales,Mid,19597,28252,Permanent,80,53,1,161,74,0,17,0.91,2,0
46e968b3-ecd1-4513-9dca-4805dafc717e,2020-06-24,2022-04-24,2024-05-08,Resigned,32,Male,1,Operations,Junior,29701,41333,Internship,20,47,8,172,68,1,28,0.48,1,0
d24a3f2c-65fe-4ea0-b439-7b2403e2d2cf,2020-01-01,2023-12-18,2025-05-05,Resigned,55,Other,0,IT,Junior,21047,32447,Internship,0,65,6,188,87,0,32,0.53,0,0
da082035-f929-4dd9-bb47-619e5085481e,2017-04-30,2018-12-28,2020-04-21,Resigned,45,Male,3,Finance,Mid,22723,29539,Permanent,20,36,3,148,70,1,32,0.43,1,1
32c7289a-3a3c-43cc-a5f4-76c1d586e5df,2013-11-26,2016-12-06,2016-02-17,Resigned,35,Female,1,HR,Mid,24261,29719,Permanent,0,27,8,221,74,0,27,0.62,2,1
bda3b702-433d-4fb1-9f9b-6e088d31ff53,2021-04-29,2024-01-18,2025-05-12,Resigned,35,Male,1,HR,Junior,20936,29484,Permanent,50,49,8,155,90,1,16,0.39,1,0
2921d6fa-ef0a-4f26-a2cb-b8c544fabcc0,2015-10-05,2021-04-14,2024-06-03,Resigned,31,Female,1,IT,Junior,27039,50698,Temporary,0,105,10,202,72,0,36,0.57,1,1
0c174db4-46ab-4e3a-9539-c485aef78665,2018-10-20,2019-01-11,2024-11-23,Resigned,47,Female,2,Marketing,Junior,21404,34603,Permanent,50,74,3,111,80,1,21,0.49,2,0
ee4be6e9-3687-4170-8116-9a4920267b9e,2015-03-02,2022-11-04,2020-03-04,Resigned,33,Male,1,Operations,Mid,25020,37530,Internship,100,60,3,140,80,0,38,0.58,1,1
41748be9-9bba-4a35-828b-ae779ef8d4ba,2013-04-16,2014-06-08,2018-03-15,Resigned,29,Other,2,Sales,Mid,24765,36941,Temporary,20,59,9,100,82,1,0,0.34,0,1
013b1408-2149-442f-a397-2050809f14aa,2019-02-22,2019-06-25,2025-02-19,Resigned,46,Male,3,Marketing,Junior,21248,33996,Internship,50,72,10,201,76,0,13,0.5,2,0
82337dd7-f55a-49b4-84c1-89f04ca5b0ea,2014-05-12,2020-02-26,2024-11-03,Resigned,44,Other,1,Marketing,Junior,26604,54759,Permanent,50,127,5,162,71,0,22,0.39,3,0
edb8ff30-132e-44db-b03a-560242c77b3f,2011-08-02,2014-10-02,2016-12-13,Resigned,36,Male,1,Sales,Mid,23833,36742,Temporary,80,65,9,109,83,1,0,0.55,3,1
5d274e1e-d812-4d7d-a079-8dc06fe50d87,2010-01-09,2020-10-12,2012-03-28,Resigned,40,Female,1,HR,Manager,28550,34735,Permanent,50,26,8,150,90,0,42,0.36,0,0
b39e8f39-b21d-4f84-a80e-fd9ec503debc,2014-06-11,2024-11-11,2022-11-18,Resigned,34,Other,2,IT,Senior,25469,47117,Temporary,0,102,4,156,86,0,19,0.67,2,0
f33147b9-a319-4717-8d60-544fc568322c,2021-02-11,2021-07-08,2022-07-11,Resigned,32,Other,1,Marketing,Manager,21187,24188,Permanent,80,17,7,217,66,0,34,0.35,1,1
f9187aa5-c573-4699-b010-1c00a5d8a826,2010-03-13,2020-11-20,2017-02-02,Resigned,41,Other,2,HR,Mid,28311,47892,Permanent,100,83,3,139,74,1,16,0.53,0,0
f7a662fe-cbf2-4207-99d0-b17630d797bd,2011-06-29,2022-10-08,2013-03-12,Resigned,57,Female,0,IT,Senior,27454,32029,Temporary,20,20,9,204,70,1,51,0.45,0,0
04668f25-b8cb-4651-99c7-c656fa5af0c1,2017-07-18,2024-04-14,2023-05-28,Resigned,49,Other,0,Sales,Junior,25694,40896,Permanent,80,71,6,182,54,1,13,0.26,2,1
9fceba8f-e175-4b2f-84a7-f344ccf80d70,2018-10-06,2024-05-29,2022-10-04,Resigned,45,Female,1,Sales,Junior,27336,38270,Temporary,50,48,8,226,75,1,5,0.54,3,1
b4e8b9af-0401-44ba-8700-4f993bf82dd1,2020-09-21,2024-12-04,2023-05-13,Resigned,48,Other,0,Finance,Junior,20748,26280,Permanent,20,32,1,164,73,1,64,0.38,2,0
4614927b-4606-47f1-9bf5-7a04f528c7aa,2019-04-07,2024-12-03,2021-08-21,Resigned,57,Other,1,Sales,Junior,21260,26220,Permanent,100,28,8,176,71,0,31,0.61,2,1
f81cac3a-8381-43c4-bf31-67080941cc49,2015-05-18,2023-08-12,2021-12-13,Resigned,42,Other,1,IT,Junior,25373,42288,Temporary,0,80,8,169,61,0,40,0.36,3,0
9c37d09c-8d44-4035-a322-23a92a84e74a,2019-12-17,2024-05-04,2024-06-02,Resigned,25,Other,1,Operations,Junior,25185,36518,Permanent,20,54,9,139,71,1,7,0.4,1,1
c15a00d2-95d5-48aa-baed-72f14aac7dae,2017-08-27,2021-10-20,2020-06-01,Resigned,59,Male,0,Marketing,Mid,27679,35290,Permanent,0,33,4,135,71,0,17,0.63,1,1
0b6872a3-64f4-48aa-af28-fdf691b5aa32,2010-09-22,2019-10-27,2011-12-08,Resigned,28,Other,0,IT,Mid,24073,26881,Permanent,0,14,7,131,68,1,0,0.5,1,1
af41023d-cbfb-474a-a311-193594527517,2010-05-18,2016-01-05,2012-03-22,Resigned,57,Male,1,HR,Junior,24213,28652,Permanent,100,22,5,161,72,0,19,0.4,0,0
f0043da9-cce6-4510-a429-182327b01af4,2014-10-30,2022-04-14,2019-07-23,Resigned,59,Female,0,Sales,Senior,29254,43149,Permanent,80,57,7,184,67,0,14,0.26,2,0
baf90f33-26e6-4863-8fb5-f66e6baaa6ea,2020-12-06,2023-12-09,2023-10-28,Resigned,56,Male,0,Marketing,Senior,19246,24859,Temporary,50,35,1,124,56,0,18,0.26,3,1
0f597613-e47f-49b7-8ef6-9e70ce2303d7,2018-07-06,2022-10-21,2020-12-05,Resigned,44,Other,1,Operations,Junior,29244,36311,Internship,80,29,7,157,82,0,42,0.34,2,1
0f1c97f3-d4b8-456d-b20d-05175a9e914f,2014-07-28,2021-12-11,2017-09-06,Resigned,53,Other,2,Finance,Senior,20178,26399,Permanent,20,37,8,176,67,1,18,0.36,2,0
4f6a2c11-2a8a-4fc5-9d5b-e1f2bb56f3b3,2021-07-23,2024-11-21,2023-09-18,Resigned,46,Other,0,HR,Manager,23728,28869,Internship,20,26,7,174,47,0,0,0.48,1,1
